Jour_name;Jour_Temp;Jour_precipitation
01/11/2022;14°C/18°C;0.5mm
02/11/2022;11°C/16°C;0.2mm
03/11/2022;13°C/16°C;0.6mm
04/11/2022;9°C/12°C;2.9mm
05/11/2022;8°C/14°C;0mm
06/11/2022;9°C/14°C;0.5mm
07/11/2022;11°C/16°C;0mm
08/11/2022;12°C/17°C;0mm
09/11/2022;13°C/16°C;0mm
10/11/2022;10°C/17°C;0mm
11/11/2022;9°C/19°C;0mm
12/11/2022;11°C/19°C;0mm
13/11/2022;11°C/17°C;0mm
14/11/2022;10°C/15°C;0.3mm
15/11/2022;9°C/14°C;1.1mm
16/11/2022;10°C/12°C;1.8mm
17/11/2022;13°C/14°C;1.4mm
18/11/2022;8°C/13°C;0.1mm
19/11/2022;7°C/11°C;0.2mm
20/11/2022;6°C/9°C;0.5mm
21/11/2022;7°C/9°C;0.9mm
22/11/2022;6°C/11°C;0.3mm
23/11/2022;7°C/11°C;0.3mm
24/11/2022;7°C/11°C;0mm
25/11/2022;7°C/11°C;0.6mm
26/11/2022;7°C/11°C;0mm
27/11/2022;9°C/11°C;0mm
28/11/2022;9°C/11°C;0.9mm
29/11/2022;7°C/12°C;0mm
30/11/2022;5°C/10°C;0mm
